Image 	 Actual Diameters 	 Predicted Diameters 
----------------------------------------
09-42-05_1.jpg 	 [42.17806] 	 [44.866665] 
18-15-27.jpg 	 [37.30904] 	 [50.97] 
17-48-47.jpg 	 [47.9615] 	 [70.04667] 
09-54-44.jpg 	 [41.193214] 	 [51.84667] 
17-37-40.jpg 	 [38.54008] 	 [59.71] 
11-09-26.jpg 	 [43.445812] 	 [64.78] 
17-35-56.jpg 	 [28.738966] 	 [36.123333] 
17-48-21.jpg 	 [47.025677] 	 [62.423332] 
09-45-04_1.jpg 	 [40.7039] 	 [58.046665] 
09-55-50_2.jpg 	 [29.525623] 	 [41.14] 
11-05-17.jpg 	 [45.31265] 	 [60.443333] 
17-37-04.jpg 	 [43.88445] 	 [59.296665] 
09-55-50.jpg 	 [32.47562] 	 [43.476665] 
09-57-36.jpg 	 [37.00871] 	 [43.433334] 
09-49-17_2.jpg 	 [44.67743] 	 [57.15333] 
09-50-11_1.jpg 	 [42.98061] 	 [63.056667] 
