Image 	 Actual Diameters 	 Predicted Diameters 
----------------------------------------
17-37-40.jpg 	 [58.37908] 	 [59.71] 
11-09-26.jpg 	 [60.046356] 	 [64.78] 
17-48-47.jpg 	 [61.36355] 	 [70.04667] 
17-37-04.jpg 	 [61.552628] 	 [59.296665] 
11-05-17.jpg 	 [60.779686] 	 [60.443333] 
09-54-44.jpg 	 [49.57366] 	 [51.84667] 
09-45-04_1.jpg 	 [51.049023] 	 [58.046665] 
09-50-11_1.jpg 	 [57.27619] 	 [63.056667] 
17-35-56.jpg 	 [46.33863] 	 [36.123333] 
09-57-36.jpg 	 [53.704525] 	 [43.433334] 
17-48-21.jpg 	 [64.88566] 	 [62.423332] 
09-42-05_1.jpg 	 [47.081547] 	 [44.866665] 
18-15-27.jpg 	 [54.990303] 	 [50.97] 
09-49-17_2.jpg 	 [55.84382] 	 [57.15333] 
09-55-50.jpg 	 [49.531525] 	 [43.476665] 
09-55-50_2.jpg 	 [55.33743] 	 [41.14] 
