Image 	 Actual Diameters 	 Predicted Diameters 
----------------------------------------
09-54-44.jpg 	 [52.4] 	 [54.255054] 
09-49-17_2.jpg 	 [65.21] 	 [72.45243] 
17-48-21.jpg 	 [79.54] 	 [80.12697] 
09-57-36.jpg 	 [60.99] 	 [59.419262] 
09-42-05_1.jpg 	 [59.25] 	 [54.30286] 
09-45-04_1.jpg 	 [82.37] 	 [77.158585] 
18-15-27.jpg 	 [68.69] 	 [70.39823] 
17-48-47.jpg 	 [83.58] 	 [73.69748] 
17-37-04.jpg 	 [74.15] 	 [76.23099] 
17-35-56.jpg 	 [52.67] 	 [60.711933] 
09-50-11_1.jpg 	 [64.94] 	 [63.384678] 
11-05-17.jpg 	 [90.26] 	 [86.949394] 
17-37-40.jpg 	 [75.09] 	 [73.4614] 
09-55-50_2.jpg 	 [49.19] 	 [57.56745] 
11-09-26.jpg 	 [93.39] 	 [97.123886] 
09-55-50.jpg 	 [48.88] 	 [56.1879] 
