Image 	 Actual Diameters 	 Predicted Diameters 
----------------------------------------
17-48-21.jpg 	 [15.65] 	 [15.841939] 
11-05-42.jpg 	 [16.52] 	 [15.570749] 
09-46-10_2.jpg 	 [13.33] 	 [13.535193] 
17-37-40.jpg 	 [15.64] 	 [15.917749] 
09-56-30_2.jpg 	 [16.53] 	 [15.844626] 
17-35-56.jpg 	 [9.48] 	 [11.5522175] 
09-54-44_2.jpg 	 [11.41] 	 [11.95452] 
11-13-13.jpg 	 [13.9] 	 [14.722187] 
17-37-19.jpg 	 [15.2] 	 [14.864394] 
09-44-06_2.jpg 	 [15.66] 	 [14.943808] 
09-41-06_2.jpg 	 [15.26] 	 [15.235345] 
17-36-35.jpg 	 [16.11] 	 [14.617562] 
09-55-50.jpg 	 [11.18] 	 [12.70323] 
09-55-22.jpg 	 [11.18] 	 [13.096696] 
11-02-15.jpg 	 [16.22] 	 [16.027077] 
09-45-04_1.jpg 	 [14.9] 	 [15.120935] 
